num_prefill_tokens,num_decode_tokens,arrival_time
599,219,1.8342796484671695
33,120,4.599440612187337
45,508,5.3909106378694265
301,140,7.622403793253088
119,118,8.647973201130945
908,67,10.326321182314281
178,205,11.271259673928524
35,186,12.173906645602928
68,123,12.600287223454753
16,59,13.541564156672809
193,136,13.842137247026674
202,114,13.899546443508989
160,36,14.667023270181225
719,32,14.765594966023178
811,202,15.334011774112318
206,16,15.356077604759921
28,146,16.31020772011457
453,79,16.68866020855044
426,394,16.821297869871373
333,77,17.356256785411382
652,219,17.85979059578657
76,85,19.334655286709648
1823,134,21.856609930344543
93,235,23.2652389199439
517,80,23.39272073654751
45,297,23.66066916008068
96,49,30.000042172719056
1114,158,30.087033688329278
188,278,30.171891415221587
566,220,30.45240214320909
310,681,30.723055584752853
220,61,30.746404830656726
957,35,30.89672229064091
193,49,30.917467156967696
41,220,31.22040812427154
109,190,31.23349763504435
424,133,31.361391226837668
363,44,31.708007713090225
51,242,31.805135133028475
118,40,32.0122795658453
136,344,32.16010369927862
169,1590,32.49345786526486
61,168,33.00338250644604
130,205,33.2140463630196
118,77,33.64585628255168
529,23,33.71799373917073
549,70,33.84949378036156
211,45,33.94902136099559
165,33,34.3947292572978
281,572,34.678163677714046
108,155,34.74063967276808
77,171,34.818796237624795
95,92,35.34444582469257
129,104,35.39040495677931
76,289,35.47532833599979
287,118,35.55140024085592
507,195,35.55589644507415
50,101,35.704647133083895
250,89,35.79438805737783
196,34,35.816380646793924
344,20,35.819302327633274
241,96,35.91119647097607
57,127,36.19754115661273
69,38,36.45476907840622
251,117,36.50008397756939
684,127,36.560266305959225
26,17,36.67102170469397
345,53,36.68695771572908
804,175,36.85709228193695
209,172,36.906710908772865
424,43,37.26159775718204
121,140,37.43562545279124
217,304,37.49793360878892
48,244,37.774128384983015
23,111,38.1552379171982
628,79,38.285962252951435
91,68,38.339505390102794
155,185,38.89288148213694
61,144,39.22992898740422
59,214,39.63653181952002
205,136,39.82276265621073
117,253,39.996852503831306
357,132,40.195294053174614
384,246,40.22532872266526
337,266,40.38157287883046
310,58,40.413336459279314
1185,23,40.46292396848689
84,487,40.52881202811958
231,153,40.769995097771215
759,25,40.88989604429114
866,63,41.009628382559285
59,243,41.18910212134078
179,94,41.30804466203693
951,76,41.51811355534781
406,428,41.53096341081451
297,47,41.615809773571534
196,59,41.74012995904479
166,146,41.75957798827386
326,172,41.86199889910397
190,189,41.96645110012016
234,275,42.17133171249746
264,145,42.23697186033405
124,188,42.41986738485374
416,96,42.647735924937066
1927,121,42.84435198877383
41,133,42.897733418136745
338,147,43.11539233019358
114,243,43.31562896639601
435,200,43.38063259263276
256,126,43.42498564491221
524,58,43.48735752559245
792,129,43.51622901759523
296,118,43.65302001449493
759,144,43.77664670372277
23,885,43.87574916101485
1200,75,43.93416972894078
356,177,43.952287348327154
718,317,44.33370596758875
72,132,44.4760139382075
106,996,44.729067015113685
283,86,45.02715311198081
240,162,45.28182855889167
324,59,45.37449650069106
723,88,45.54096542287425
41,152,45.54857124415804
647,260,45.83269538820093
246,161,46.229258224648405
199,377,46.6855113451935
56,111,46.73184955609457
404,90,46.773367553085166
21,1385,46.88742898410936
467,173,47.058014160303024
55,63,47.21131094043386
258,65,47.54439545104036
217,52,47.67035684271356
788,282,47.79154049040694
204,87,47.92092294933478
122,136,48.015421488790274
147,114,48.107023558843586
873,234,48.17144282773829
418,56,48.196759310279624
166,46,48.2478767510774
193,148,48.272979942090906
51,208,48.38443032774794
360,163,48.99401525626261
42,58,49.140945301982
518,223,49.272106448293314
278,62,49.4085658117482
1975,73,49.4499775749135
81,51,49.560822163528606
220,391,49.59896189781647
1477,214,49.781359085383585
805,209,50.08983274256235
121,373,50.13110905802291
306,1527,50.58627552173446
245,26,50.9563577601782
324,62,50.956652765013374
121,69,51.03137699835408
223,56,51.067141886007214
49,46,51.09549598544049
280,92,51.389231269260364
383,40,51.59874864332199
194,164,51.7091508620088
48,127,51.980882172553606
657,187,52.22247823531349
352,191,52.23831108328027
118,209,52.25222115200581
184,86,52.48906370365704
54,819,52.506075273944255
87,150,52.820655712948295
142,22,52.99320799345999
835,49,53.20625898783348
129,25,53.29512011080226
464,123,53.347085283513636
142,108,53.415081120326235
313,79,53.43608073585248
212,742,53.507179024380626
585,199,53.702754826100914
143,233,54.04718517239459
50,52,54.05779667825216
61,49,54.38699732628109
143,125,54.89548491392828
70,141,55.33379094250371
368,22,55.46554645342034
153,103,55.79369341244787
1931,117,56.03283947988429
43,100,56.159507903843824
299,58,56.298461672932795
79,74,56.32794144081074
149,103,56.61649179015874
281,131,56.62977059612502
23,209,56.821656305190224
310,321,57.46707731572178
1640,93,57.70477904586864
155,80,57.8394427483356
317,180,57.918766202865804
681,210,58.23340016794097
207,82,58.249164764231395
136,247,58.36182212542968
25,293,58.610325759962116
464,388,58.67849703216842
218,602,58.76079638067564
88,55,58.776225060071084
277,123,58.803196929232286
136,122,58.80814103652361
144,111,58.87947411916412
448,67,59.00208345757603
64,31,59.06837558719222
697,132,59.12645206799174
60,60,59.31906710675481
126,131,59.780195988372846
1673,59,59.90569848095126
755,45,60.036983754153844
269,150,60.37002196630207
95,139,60.837353442946146
144,204,61.24933459845544
263,868,64.31396717298009
254,155,65.55611705781222
223,188,67.09119183378928
237,46,67.30569378176335
197,38,69.03490662702859
57,504,69.616662984498
145,52,69.76567467536367
610,47,70.79111165031327
62,117,70.95062193400891
202,112,71.55467857637224
107,53,71.68658990291432
273,92,72.47476525227715
165,367,72.70075700893965
1072,58,72.94176541018692
406,34,73.10401567838021
65,283,73.14622946550384
478,189,73.28020040763444
112,69,74.7705054246381
137,29,75.24243674875066
334,62,77.03105413706231
149,115,79.70133375687847
597,346,82.5958621866224
112,47,82.66886735032521
131,112,83.45222449675133
126,223,83.55914244950196
138,16,85.68386987194353
734,308,87.20218404238237
458,41,87.6509178016314
1352,163,88.14253526861397
1907,141,88.95457529170383
87,322,90.12659926286838
262,199,90.43651896855967
75,16,90.45582471779089
112,59,90.59310795836525
130,137,90.67296957911131
85,101,90.72622044174125
85,186,90.93125038691436
211,247,91.0169048867044
72,210,91.25240765264158
568,100,91.54444224355768
97,23,91.62333388439555
1971,77,91.62616260320132
155,176,92.21377308994997
262,45,92.41755109263175
66,214,92.79600550486971
1347,275,92.81181536204035
749,136,92.8350368733711
329,16,92.84530793567284
63,38,92.88626668436721
302,663,92.88773605022395
79,74,93.23728612743771
1056,20,93.3002396931077
549,369,93.56661460048338
269,122,93.86439249108852
21,328,94.15977139264096
91,155,94.27025589940358
486,183,94.85703807141051
822,168,95.22637863798896
741,227,95.75870133259971
49,943,95.90627887823844
330,291,96.24684881935296
675,29,96.34912405700217
46,181,96.56972078573689
242,339,96.77015499716505
321,358,96.7825350735207
181,82,96.82004075497252
38,346,97.07825355520383
176,280,97.08264369353913
176,1230,97.32677601035489
211,61,97.47382424483179
139,76,98.25783804660922
157,92,98.2635727369482
235,78,98.38416204071306
380,54,98.91368792802764
180,16,98.91513843550135
162,82,99.09261886504159
268,169,99.16468150697108
35,77,99.21310430701398
394,693,99.43911117815983
244,122,99.5434562084508
254,388,99.68528448035843
639,153,99.68531582334994
34,255,99.8156999676561
33,156,99.82900693238768
321,416,99.93864729384086
242,127,99.95359350070652
290,189,100.13702722010366
154,168,100.16857481959117
475,93,100.1731021129582
621,174,100.45742241894465
397,907,100.49814327191405
188,95,100.49949330617342
29,177,100.6987861838871
528,376,100.82310779662377
830,339,100.98057314221435
466,122,101.3228383359023
101,16,101.3565842394616
480,193,101.40377086478405
578,16,101.63291257691803
1163,456,101.7083995766075
101,141,101.75742831064363
195,298,102.03663318414046
516,53,102.10865416108115
259,30,102.17810075258053
80,153,102.6659092108936
370,117,102.66869833012706
436,78,103.1693595235796
267,131,103.23660836445713
304,1466,103.78186929587812
188,257,103.80495611485519
1073,312,103.94795003648572
99,259,104.17160204950467
136,460,104.4035954420408
247,102,104.41958310473342
589,19,104.43470596185584
54,102,104.59588344803224
66,252,104.6118406804434
31,50,104.88032914252017
252,103,105.1934200178057
79,65,105.21891664087639
166,469,105.46323204214843
474,238,105.47154760007277
128,218,105.99479851064812
308,212,106.11771004508985
181,117,106.33721242777486
479,145,106.55442582690317
393,41,106.73295071738549
122,16,106.88159288386242
206,139,106.88634448685522
694,162,107.22129987951041
362,360,107.37505502847263
60,499,107.42279406130746
471,499,107.49327735478042
82,49,107.56813265887716
1004,88,107.57925727928404
681,187,107.61404802819274
326,1186,107.61742675444322
286,460,107.76658783413397
198,332,107.85604041345317
482,85,108.38884195562176
168,54,108.43405335660029
309,247,108.57698349135913
585,45,108.58849501457524
139,98,108.6485294245247
132,109,108.80632673502738
74,509,109.31135890895914
84,88,109.8561609989571
39,16,109.86446774721608
507,191,110.02646133117614
1493,64,110.06858168685248
1017,126,110.41710384503854
48,112,110.64020281264723
505,94,110.67941153137049
1014,247,110.76145575358765
154,30,110.76276515737231
270,76,110.84940156421611
32,224,110.98103638847795
319,69,111.08866116693292
84,28,111.30527276700559
298,221,111.32988584560802
51,333,111.62314536884361
421,116,111.70195907334849
681,20,111.78404263673724
111,229,111.84277232822919
78,27,112.09425779143066
28,160,112.17998741181766
187,54,112.24175296319817
136,42,112.40930213006811
51,81,112.57852204892407
384,103,112.64488594727793
156,68,112.96534861948021
83,206,113.04541454744381
140,81,113.26179602477195
714,293,113.32003915056562
447,156,113.57361320179187
214,64,113.82022253754573
454,55,114.03060560016137
76,27,114.2970200858122
252,157,114.43976311504612
283,88,114.47378218491461
152,16,114.59251441603209
378,75,114.6319813431226
112,54,114.79182241261158
407,501,114.81154630597253
424,26,114.95207776256981
16,33,114.9783188885777
804,329,115.12624314871792
16,412,115.8092194181834
132,62,116.00052903434813
682,68,116.06171157751963
178,211,116.10712732211344
56,16,116.19726559925304
81,22,116.31647043651768
683,94,116.47145559761069
35,490,116.51995976233707
756,82,116.68719620772447
231,133,116.71769935316188
74,337,117.15095894941234
136,809,117.36944458203021
88,72,117.47744470432743
581,119,117.6683595584611
508,626,117.69661759800755
43,30,118.02255772418373
163,306,118.40831587435301
103,48,118.44429888829222
892,133,118.45070440625783
63,97,118.52370167976319
1217,51,118.70821570877749
236,50,119.30526459444944
76,155,119.37314216932393
124,297,119.43961771391211
109,108,119.46083295378746
68,129,119.79726977883132
269,203,120.31664804086711
71,50,120.38880871488396
27,236,120.48356808042288
167,254,120.7875994075507
40,1265,123.0159159674713
115,86,127.82502787394674
98,80,128.26029491516306
102,242,129.6581277066908
1796,252,130.55264007216857
258,75,130.7957907064043
312,84,131.58893806755
41,197,134.4998460367403
127,57,135.93141171775417
303,83,137.43376779137787
87,131,138.80327347611393
